id,hint_1,hint_2,hint_3,hint_4
42010020,This verse emphasizes the true cause of rejoicing for believers.,It's found in the Gospel where Luke is the narrator.,Located in a chapter where seventy-two followers are sent out.,"The joy comes from a heavenly affirmation, not earthly authority over spirits."
43006029,This verse defines the work God desires from us.,Found in John's account of the Gospel.,Occurs during a discussion about the bread of life.,Belief in the one He sent is central.
40012045,A warning about how a purified state can become even worse if left unprotected.,Matthew narrates this as a part of Jesus' teaching to a crowd.,It's in a chapter where Jesus speaks on the unclean spirit returning.,The situation described is worse for the 'evil generation' at the end.
42005001,Describes a scene where Jesus is surrounded by a multitude near a lake.,Luke's Gospel contains this passage early on.,The lake mentioned is known for its biblical significance.,The setting is an example of Jesus' popularity among the people.
41011033,Jesus responds to a challenge about His authority with a question of His own.,"Located in Mark's Gospel, during a series of confrontations in Jerusalem.",The question relates to the baptism of John.,Jesus uses this question to reveal the hearts of His questioners.
46007003,A directive about marital duties and mutual respect.,Paul's first letter to the Corinthians addresses this.,It's in a chapter that extensively discusses marriage.,Emphasizes the reciprocal nature of marital relationships.
43011027,A profound confession of faith in Jesus' identity.,"Found in John's Gospel, in a story involving Lazarus.","Spoken by Martha, expressing her belief in Jesus.",Acknowledges Jesus as the Messiah and Son of God.
45004008,Talks about the blessedness of forgiveness.,Located in Paul's letter to the Romans.,It's part of a larger discussion on faith and righteousness.,Highlights not having one's sins counted against them.
45008010,Discusses the transformative power of Christ within believers.,"Found within Paul's letter to the Romans, in a section on life through the Spirit.",Addresses the contrast between the spirit and the flesh.,Emphasizes righteousness as a source of life.
41014058,Jesus' prophecy about destroying and raising the temple in three days.,This statement caused confusion and was used against Him.,"Found in Mark, during Jesus' trial before the Sanhedrin.",The 'temple' He referred to was His body.
41014058,A statement about a structure's destruction and subsequent rebuilding.,Consider the symbolic meaning behind the temple.,Pay attention to the timeframe mentioned for the rebuilding.,Reflect on the significance of the temple made without hands.
58012026,Reference to a voice causing seismic disturbance.,Think about the scope of the tremor described.,Pay attention to the promise related to shaking.,Reflect on the significance of the voice's authority.
42012001,Description of a crowded gathering and a cautionary message.,Consider the warning given to the disciples.,Pay attention to the analogy of leaven and hypocrisy.,Reflect on the significance of Pharisaic teachings.
43007006,A statement about timing and readiness.,Consider the distinction between 'my time' and 'your time.',Think about the context of Jesus' response.,Reflect on the implication of perpetual readiness.
60004012,An encouragement amidst trials.,Think about the nature of the trial mentioned.,Consider the perspective encouraged towards the trial.,Reflect on the normalization of trials within the community.
44015028,A decision made with divine guidance.,Consider the authority behind the decision.,Pay attention to the principle of burden-sharing.,Reflect on the criteria for determining 'necessary things.'
50002002,An appeal for unity and mutual affection.,Think about the desired state of mind and heart.,Consider the importance of harmony among believers.,Reflect on the call for collective agreement and love.
